dataset,sample_id,mode,prediction_path,label_path,label_usage,series_length,true_anomaly_points,true_ranges,predicted_ranges,point_precision,point_recall,point_f1,point_adjusted_precision,point_adjusted_recall,point_adjusted_f1,range_precision,range_recall,range_f1,overlap_precision,overlap_recall,overlap_f1
UCR,135,optimized,/home/data/tkx/HMA-TSAD_v1/artifacts_ucr_optimized_parallel_20260722/optimized/UCR/135/predictions.json,/home/data/tkx/HMA-TSAD_v1/tsad_datasets/UCR/135_labels.npy,evaluation only; labels were not provided to the agent,6301,12,1,1,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.75,1.0,0.8571428571428571,1.0,1.0,1.0,0.7333333333333333,0.9166666666666666,0.8148148148148148
UCR,136,optimized,/home/data/tkx/HMA-TSAD_v1/artifacts_ucr_optimized_parallel_20260722/optimized/UCR/136/predictions.json,/home/data/tkx/HMA-TSAD_v1/tsad_datasets/UCR/136_labels.npy,evaluation only; labels were not provided to the agent,5900,111,1,1,1.0,0.5765765765765766,0.7314285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5765765765765766,0.7314285714285714
UCR,137,optimized,/home/data/tkx/HMA-TSAD_v1/artifacts_ucr_optimized_parallel_20260722/optimized/UCR/137/predictions.json,/home/data/tkx/HMA-TSAD_v1/tsad_datasets/UCR/137_labels.npy,evaluation only; labels were not provided to the agent,5200,102,1,1,1.0,0.06862745098039216,0.12844036697247707,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06862745098039216,0.12844036697247707
UCR,138,optimized,/home/data/tkx/HMA-TSAD_v1/artifacts_ucr_optimized_parallel_20260722/optimized/UCR/138/predictions.json,/home/data/tkx/HMA-TSAD_v1/tsad_datasets/UCR/138_labels.npy,evaluation only; labels were not provided to the agent,4500,10,1,1,1.0,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666
