dataset,sample_id,mode,prediction_path,label_path,label_usage,series_length,true_anomaly_points,true_ranges,predicted_ranges,point_precision,point_recall,point_f1,point_adjusted_precision,point_adjusted_recall,point_adjusted_f1,range_precision,range_recall,range_f1,overlap_precision,overlap_recall,overlap_f1
UCR,135,optimized,/home/data/tkx/HMA-TSAD_v4/artifacts_ucr_optimized_parallel_20260722/optimized/UCR/135/predictions.json,/home/data/tkx/HMA-TSAD_v4/tsad_datasets/UCR/135_labels.npy,evaluation only; labels were not provided to the agent,6301,12,1,2,0.41379310344827586,1.0,0.5853658536585366,0.41379310344827586,1.0,0.5853658536585366,0.5,1.0,0.6666666666666666,0.375,1.0,0.5454545454545454
UCR,136,optimized,/home/data/tkx/HMA-TSAD_v4/artifacts_ucr_optimized_parallel_20260722/optimized/UCR/136/predictions.json,/home/data/tkx/HMA-TSAD_v4/tsad_datasets/UCR/136_labels.npy,evaluation only; labels were not provided to the agent,5900,111,1,1,0.9568965517241379,1.0,0.9779735682819383,0.9568965517241379,1.0,0.9779735682819383,1.0,1.0,1.0,0.9568965517241379,1.0,0.9779735682819383
UCR,137,optimized,/home/data/tkx/HMA-TSAD_v4/artifacts_ucr_optimized_parallel_20260722/optimized/UCR/137/predictions.json,/home/data/tkx/HMA-TSAD_v4/tsad_datasets/UCR/137_labels.npy,evaluation only; labels were not provided to the agent,5200,102,1,2,0.37320574162679426,0.7647058823529411,0.5016077170418007,0.43776824034334766,1.0,0.6089552238805971,0.5,1.0,0.6666666666666666,0.5,0.7647058823529411,0.6046511627906976
UCR,138,optimized,/home/data/tkx/HMA-TSAD_v4/artifacts_ucr_optimized_parallel_20260722/optimized/UCR/138/predictions.json,/home/data/tkx/HMA-TSAD_v4/tsad_datasets/UCR/138_labels.npy,evaluation only; labels were not provided to the agent,4500,10,1,1,0.7692307692307693,1.0,0.8695652173913044,0.7692307692307693,1.0,0.8695652173913044,1.0,1.0,1.0,0.7692307692307693,1.0,0.8695652173913044
