dataset,sample_id,mode,prediction_path,label_path,label_usage,series_length,true_anomaly_points,true_ranges,predicted_ranges,point_precision,point_recall,point_f1,point_adjusted_precision,point_adjusted_recall,point_adjusted_f1,range_precision,range_recall,range_f1,overlap_precision,overlap_recall,overlap_f1
UCR,135,optimized,/home/data/tkx/HMA-TSAD_v3/artifacts_ucr_optimized_parallel_20260722/optimized/UCR/135/predictions.json,/home/data/tkx/HMA-TSAD_v3/tsad_datasets/UCR/135_labels.npy,evaluation only; labels were not provided to the agent,6301,12,1,1,0.46153846153846156,1.0,0.631578947368421,0.46153846153846156,1.0,0.631578947368421,1.0,1.0,1.0,0.46153846153846156,1.0,0.631578947368421
UCR,136,optimized,/home/data/tkx/HMA-TSAD_v3/artifacts_ucr_optimized_parallel_20260722/optimized/UCR/136/predictions.json,/home/data/tkx/HMA-TSAD_v3/tsad_datasets/UCR/136_labels.npy,evaluation only; labels were not provided to the agent,5900,111,1,1,1.0,0.6846846846846847,0.8128342245989304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6846846846846847,0.8128342245989304
UCR,137,optimized,/home/data/tkx/HMA-TSAD_v3/artifacts_ucr_optimized_parallel_20260722/optimized/UCR/137/predictions.json,/home/data/tkx/HMA-TSAD_v3/tsad_datasets/UCR/137_labels.npy,evaluation only; labels were not provided to the agent,5200,102,1,1,0.7835051546391752,0.7450980392156863,0.763819095477387,0.8292682926829268,1.0,0.9066666666666667,1.0,1.0,1.0,0.7835051546391752,0.7450980392156863,0.763819095477387
UCR,138,optimized,/home/data/tkx/HMA-TSAD_v3/artifacts_ucr_optimized_parallel_20260722/optimized/UCR/138/predictions.json,/home/data/tkx/HMA-TSAD_v3/tsad_datasets/UCR/138_labels.npy,evaluation only; labels were not provided to the agent,4500,10,1,1,0.7272727272727273,0.8,0.761904761904762,0.7692307692307693,1.0,0.8695652173913044,1.0,1.0,1.0,0.7272727272727273,0.8,0.761904761904762
